"","129A","143E","143F","26A","33A","37A","57A","69A","82A","83A","86A","87A","89A","92A"
"Armenian (Western)",1,3,4,2,2,3,2,2,1,1,1,1,1,6
"Breton",2,1,1,3,2,1,2,2,2,2,2,2,1,1
"Cornish",2,1,4,2,2,1,4,2,1,2,2,2,1,1
"Czech",1,2,4,3,2,5,4,4,1,2,3,1,1,6
"Danish",2,1,1,2,2,3,4,2,1,2,1,1,1,6
"Dutch",2,1,1,2,2,1,4,2,1,3,2,1,1,6
"English",2,1,4,2,2,1,4,2,1,2,3,1,1,6
"French",2,1,1,2,2,1,4,2,1,2,2,2,1,1
"German",2,1,1,2,2,1,4,2,1,3,2,1,1,6
"Greek (Modern)",2,1,4,2,2,1,4,2,3,2,2,1,1,1
"Irish",2,1,4,4,6,1,4,4,2,2,2,2,1,1
"Italian",2,1,4,2,2,1,4,2,3,2,2,2,1,6
"Norwegian",2,1,1,2,2,3,4,2,1,2,3,1,1,6
"Romanian",2,1,4,2,2,3,4,2,1,2,2,2,1,6
"Russian",1,1,4,2,2,5,4,4,1,2,2,1,1,3
"Serbian-Croatian",1,1,4,2,2,5,4,5,1,2,3,1,1,5
"Spanish",2,1,4,2,2,1,4,2,3,2,2,2,1,6
